animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Type,Number_Of_Animal_Species_In_Class,diet,conservation_status,habitat_type,habitat_risk_score,trophic_level
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,41,insectivore,least concern,savanna,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,herbivore,near threatened,grasslands,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,13,carnivore,least,freshwater,2,3
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,41,omnivore,vulnerable,forest,1,2
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,omnivore,least concern,forest,1,2
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,herbivore,endangered,grasslands,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,41,herbivore,unknown,domestic,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,Fish,13,omnivore,least concern,freshwater,2,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,13,carnivore,unknown,freshwater,2,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,Mammal,41,unknown,unknown,unknown,1,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,20,unknown,unknown,unknown,1,1
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Invertebrate,10,filter_feeder,least concern,marine,1,1
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,Invertebrate,10,omnivore,least concern,marine/coastal,3,2
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,3,1
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,herbivore,vulnerable,forest,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,13,unknown,unknown,unknown,3,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,20,unknown,unknown,unknown,1,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,3,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,1,1
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,Amphibian,4,unknown,unknown,unknown,3,1
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,Mammal,41,unknown,unknown,unknown,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,41,unknown,unknown,unknown,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,3,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,Mammal,41,unknown,unknown,unknown,1,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Bug,8,unknown,unknown,unknown,1,1
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,3,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian,4,unknown,unknown,unknown,3,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate,10,unknown,unknown,unknown,3,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,1,1
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,20,unknown,unknown,unknown,1,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,3,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,13,unknown,unknown,unknown,3,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,5,unknown,unknown,unknown,1,1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,41,unknown,unknown,unknown,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,Mammal,41,unknown,unknown,unknown,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,41,unknown,unknown,unknown,1,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,1,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,Invertebrate,10,unknown,unknown,unknown,1,1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,Mammal,41,unknown,unknown,unknown,3,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile,5,unknown,unknown,unknown,3,1
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,3,1
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,3,1
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,3,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile,5,unknown,unknown,unknown,1,1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,1,1
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,13,unknown,unknown,unknown,3,1
